,Accuracy Difference,Accuracy Difference,Accuracy Difference,Accuracy Difference,Accuracy Difference,Accuracy Difference,F1 Score Difference,F1 Score Difference,F1 Score Difference,F1 Score Difference,F1 Score Difference,F1 Score Difference,ROC AUC Difference,ROC AUC Difference,ROC AUC Difference,ROC AUC Difference,ROC AUC Difference,ROC AUC Difference
Model,copula_gan,ctgan,ds,gaussian_copula,synthpop,tvae,copula_gan,ctgan,ds,gaussian_copula,synthpop,tvae,copula_gan,ctgan,ds,gaussian_copula,synthpop,tvae
Dataset,,,,,,,,,,,,,,,,,,
1,0.3,0.36,0.36,0.36,0.04,0.2,0.46,0.47,0.41,0.44,0.05,0.23,0.38,0.53,0.35,0.35,0.0,0.17
2,-0.01,0.5,-0.01,-0.01,0.0,0.01,0.0,0.5,0.0,0.0,0.0,-0.05,0.13,0.19,0.17,0.01,0.01,0.01
3,-0.08,-0.08,0.29,-0.08,-0.08,-0.17,0.0,0.0,0.26,0.0,-0.08,-0.15,0.1,-0.17,0.06,0.02,-0.05,-0.17
5,0.1,0.23,0.12,0.08,0.09,0.09,0.18,0.21,0.15,0.19,0.17,0.11,0.16,0.25,0.19,0.1,0.04,0.03
6,0.01,0.03,0.01,0.03,0.0,0.01,0.02,-0.01,0.03,0.12,0.01,0.03,0.0,0.0,0.06,0.05,-0.01,0.01
Average,0.06399999999999999,0.20800000000000002,0.15399999999999997,0.076,0.009999999999999998,0.028000000000000004,0.132,0.23399999999999999,0.16999999999999998,0.15,0.030000000000000006,0.034,0.154,0.15999999999999998,0.166,0.10600000000000001,-0.002,0.010000000000000002
