Dataset,Model,Metric,Threshold,Proportion,Value
1,tvae,accuracy,0.3,0.9,0.0
1,tvae,accuracy,0.3,1.0,0.0
1,tvae,accuracy,0.4,0.2,0.0
1,tvae,accuracy,0.4,0.3,0.0
1,tvae,accuracy,0.4,0.4,0.01
1,tvae,accuracy,0.4,0.5,0.01
1,tvae,accuracy,0.4,0.6,0.01
1,tvae,accuracy,0.4,0.7,0.01
1,tvae,accuracy,0.4,0.8,0.02
1,tvae,accuracy,0.4,0.9,0.02
1,tvae,accuracy,0.4,1.0,0.01
1,gaussian_copula,precision,0.1,0.2,0.0
1,gaussian_copula,precision,0.1,0.3,0.0
1,gaussian_copula,precision,0.1,0.4,0.0
1,gaussian_copula,precision,0.1,0.5,0.0
1,gaussian_copula,precision,0.1,0.6,0.0
1,gaussian_copula,precision,0.1,0.7,0.0
1,gaussian_copula,precision,0.1,0.8,0.0
1,gaussian_copula,precision,0.1,0.9,0.0
1,gaussian_copula,precision,0.1,1.0,0.0
1,gaussian_copula,precision,0.2,0.2,0.0
1,gaussian_copula,precision,0.2,0.3,0.0
1,gaussian_copula,precision,0.2,0.4,0.0
1,gaussian_copula,precision,0.2,0.5,0.0
1,gaussian_copula,precision,0.2,0.6,0.0
1,gaussian_copula,precision,0.2,0.7,0.0
1,gaussian_copula,precision,0.2,0.8,0.0
1,gaussian_copula,precision,0.2,0.9,0.0
1,gaussian_copula,precision,0.2,1.0,0.0
1,gaussian_copula,precision,0.3,0.2,1.0
1,gaussian_copula,precision,0.3,0.3,1.0
1,gaussian_copula,precision,0.3,0.4,1.0
1,gaussian_copula,precision,0.3,0.5,1.0
1,gaussian_copula,precision,0.3,0.6,1.0
1,gaussian_copula,precision,0.3,0.7,1.0
1,gaussian_copula,precision,0.3,0.8,1.0
1,gaussian_copula,precision,0.3,0.9,1.0
1,gaussian_copula,precision,0.3,1.0,1.0
1,gaussian_copula,precision,0.4,0.2,1.0
1,gaussian_copula,precision,0.4,0.3,1.0
1,gaussian_copula,precision,0.4,0.4,1.0
1,gaussian_copula,precision,0.4,0.5,1.0
1,gaussian_copula,precision,0.4,0.6,1.0
1,gaussian_copula,precision,0.4,0.7,1.0
1,gaussian_copula,precision,0.4,0.8,1.0
1,gaussian_copula,precision,0.4,0.9,1.0
1,gaussian_copula,precision,0.4,1.0,1.0
1,gaussian_copula,accuracy,0.1,0.2,0.0
1,gaussian_copula,accuracy,0.1,0.3,0.0
1,gaussian_copula,accuracy,0.1,0.4,0.0
1,gaussian_copula,accuracy,0.1,0.5,0.0
1,gaussian_copula,accuracy,0.1,0.6,0.0
1,gaussian_copula,accuracy,0.1,0.7,0.0
1,gaussian_copula,accuracy,0.1,0.8,0.0
1,gaussian_copula,accuracy,0.1,0.9,0.0
1,gaussian_copula,accuracy,0.1,1.0,0.0
1,gaussian_copula,accuracy,0.2,0.2,0.0
1,gaussian_copula,accuracy,0.2,0.3,0.0
1,gaussian_copula,accuracy,0.2,0.4,0.0
1,gaussian_copula,accuracy,0.2,0.5,0.0
1,gaussian_copula,accuracy,0.2,0.6,0.0
1,gaussian_copula,accuracy,0.2,0.7,0.0
1,gaussian_copula,accuracy,0.2,0.8,0.0
1,gaussian_copula,accuracy,0.2,0.9,0.0
1,gaussian_copula,accuracy,0.2,1.0,0.0
1,gaussian_copula,accuracy,0.3,0.2,0.05
1,gaussian_copula,accuracy,0.3,0.3,0.03
1,gaussian_copula,accuracy,0.3,0.4,0.08
1,gaussian_copula,accuracy,0.3,0.5,0.07
1,gaussian_copula,accuracy,0.3,0.6,0.09
1,gaussian_copula,accuracy,0.3,0.7,0.08
1,gaussian_copula,accuracy,0.3,0.8,0.08
1,gaussian_copula,accuracy,0.3,0.9,0.08
1,gaussian_copula,accuracy,0.3,1.0,0.08
1,gaussian_copula,accuracy,0.4,0.2,0.31
1,gaussian_copula,accuracy,0.4,0.3,0.33
1,gaussian_copula,accuracy,0.4,0.4,0.35
1,gaussian_copula,accuracy,0.4,0.5,0.34
1,gaussian_copula,accuracy,0.4,0.6,0.36
1,gaussian_copula,accuracy,0.4,0.7,0.38
1,gaussian_copula,accuracy,0.4,0.8,0.37
1,gaussian_copula,accuracy,0.4,0.9,0.38
1,gaussian_copula,accuracy,0.4,1.0,0.37
1,copula_gan,precision,0.1,0.2,0.0
