Gender,Age,POLAR4 Quintile,POLAR3 Quintile,Adult HE 2001 Quintile,Adult HE 2011 Quintile,TUNDRA MSOA Quintile,TUNDRA LSOA Quintile,Gaps GCSE Quintile ,Gaps GCSE Ethnicity Quintile,Uni Connect target ward,attending from home?,distance to university (km),Count of Module Area Logins,Total Hours in Module Area,% of Average Hours in Module Area,# of presence,# of Absence,Percent Attended,"label (fail=1, pass=0)"
0.0,22.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,10.23564577,32.0,5.68,0.475837743,11.0,1.0,91.66666667,0.0
0.0,21.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,1.0,260.3132079,46.0,13.07,1.094929453,12.0,0.0,100.0,0.0
0.0,25.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,17.32749755,14.0,6.28,0.256658726,4.0,8.0,33.33333333,1.0
0.0,22.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,76.0,30.56,0.958680649,12.0,0.0,100.0,0.0
0.0,22.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,15.71160919,44.0,13.7,1.147707231,6.0,6.0,50.0,0.0
0.0,19.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,0.0,1.0,33.90047247,76.0,24.99,2.093518519,12.0,0.0,100.0,0.0
0.0,19.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,18.69570791,34.0,9.27,0.776587302,8.0,4.0,66.66666667,0.0
0.0,20.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,13.82471854,42.0,13.07,1.094929453,11.0,1.0,91.66666667,0.0
0.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,15.71160919,53.0,18.36,0.57596128,8.0,4.0,66.66666667,0.0
0.0,22.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,335.0,175.44,5.503630008,12.0,0.0,100.0,0.0
0.0,22.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,5.0,0.0,1.0,15.84412643,1.0,0.03,0.002513228,0.0,12.0,0.0,1.0
0.0,20.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,43.19664358,83.0,41.26,3.456525573,12.0,0.0,100.0,0.0
0.0,23.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,76.0,29.67,0.930760957,12.0,0.0,100.0,0.0
0.0,21.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,0.0,1.0,17.70657284,25.0,6.14,0.514373898,5.0,7.0,41.66666667,1.0
0.0,20.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,82.0,35.94,1.127453617,4.0,8.0,33.33333333,0.0
0.0,20.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,43.36628919,74.0,6.79,0.56882716,10.0,1.0,83.33333333,0.0
0.0,22.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,25.20825881,72.0,19.56,1.497358953,9.0,0.0,100.0,0.0
0.0,20.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,0.0,1.0,12.74442906,46.0,16.87,1.413271605,9.0,3.0,75.0,0.0
0.0,20.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,3.259523336,39.0,14.12,1.182892416,9.0,2.0,75.0,0.0
0.0,22.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,30.0,9.29,0.71116895,3.0,6.0,33.33,0.0
0.0,21.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0,49.76421155,24.0,10.29,0.862037037,4.0,8.0,33.33333333,0.0
